PacketsInQueue,Time(ms),NumSTAs,FrequencyBand(GHz),ChannelWidth(MHz),Seed,TotalSimulationTime(s)
44,1.368,150,6,160,2,1.5
44,1.369,150,6,160,2,1.5
44,1.37,150,6,160,2,1.5
44,1.371,150,6,160,2,1.5
44,1.372,150,6,160,2,1.5
44,1.373,150,6,160,2,1.5
44,1.374,150,6,160,2,1.5
44,1.375,150,6,160,2,1.5
44,1.376,150,6,160,2,1.5
44,1.377,150,6,160,2,1.5
44,1.378,150,6,160,2,1.5
44,1.379,150,6,160,2,1.5
44,1.38,150,6,160,2,1.5
44,1.381,150,6,160,2,1.5
44,1.382,150,6,160,2,1.5
44,1.383,150,6,160,2,1.5
44,1.384,150,6,160,2,1.5
44,1.385,150,6,160,2,1.5
44,1.386,150,6,160,2,1.5
44,1.387,150,6,160,2,1.5
44,1.388,150,6,160,2,1.5
44,1.389,150,6,160,2,1.5
40,1.39,150,6,160,2,1.5
40,1.391,150,6,160,2,1.5
40,1.392,150,6,160,2,1.5
40,1.393,150,6,160,2,1.5
40,1.394,150,6,160,2,1.5
40,1.395,150,6,160,2,1.5
40,1.396,150,6,160,2,1.5
40,1.397,150,6,160,2,1.5
40,1.398,150,6,160,2,1.5
40,1.399,150,6,160,2,1.5
40,1.4,150,6,160,2,1.5
40,1.401,150,6,160,2,1.5
40,1.402,150,6,160,2,1.5
40,1.403,150,6,160,2,1.5
40,1.404,150,6,160,2,1.5
40,1.405,150,6,160,2,1.5
40,1.406,150,6,160,2,1.5
36,1.407,150,6,160,2,1.5
36,1.408,150,6,160,2,1.5
36,1.409,150,6,160,2,1.5
36,1.41,150,6,160,2,1.5
36,1.411,150,6,160,2,1.5
36,1.412,150,6,160,2,1.5
36,1.413,150,6,160,2,1.5
36,1.414,150,6,160,2,1.5
36,1.415,150,6,160,2,1.5
36,1.416,150,6,160,2,1.5
36,1.417,150,6,160,2,1.5
36,1.418,150,6,160,2,1.5
36,1.419,150,6,160,2,1.5
36,1.42,150,6,160,2,1.5
36,1.421,150,6,160,2,1.5
36,1.422,150,6,160,2,1.5
36,1.423,150,6,160,2,1.5
32,1.424,150,6,160,2,1.5
32,1.425,150,6,160,2,1.5
32,1.426,150,6,160,2,1.5
32,1.427,150,6,160,2,1.5
32,1.428,150,6,160,2,1.5
32,1.429,150,6,160,2,1.5
32,1.43,150,6,160,2,1.5
32,1.431,150,6,160,2,1.5
32,1.432,150,6,160,2,1.5
32,1.433,150,6,160,2,1.5
32,1.434,150,6,160,2,1.5
32,1.435,150,6,160,2,1.5
32,1.436,150,6,160,2,1.5
32,1.437,150,6,160,2,1.5
32,1.438,150,6,160,2,1.5
32,1.439,150,6,160,2,1.5
32,1.44,150,6,160,2,1.5
32,1.441,150,6,160,2,1.5
32,1.442,150,6,160,2,1.5
32,1.443,150,6,160,2,1.5
32,1.444,150,6,160,2,1.5
32,1.445,150,6,160,2,1.5
32,1.446,150,6,160,2,1.5
32,1.447,150,6,160,2,1.5
32,1.448,150,6,160,2,1.5
32,1.449,150,6,160,2,1.5
32,1.45,150,6,160,2,1.5
32,1.451,150,6,160,2,1.5
32,1.452,150,6,160,2,1.5
32,1.453,150,6,160,2,1.5
32,1.454,150,6,160,2,1.5
32,1.455,150,6,160,2,1.5
32,1.456,150,6,160,2,1.5
32,1.457,150,6,160,2,1.5
32,1.458,150,6,160,2,1.5
32,1.459,150,6,160,2,1.5
32,1.46,150,6,160,2,1.5
32,1.461,150,6,160,2,1.5
32,1.462,150,6,160,2,1.5
32,1.463,150,6,160,2,1.5
32,1.464,150,6,160,2,1.5
32,1.465,150,6,160,2,1.5
32,1.466,150,6,160,2,1.5
32,1.467,150,6,160,2,1.5
32,1.468,150,6,160,2,1.5
32,1.469,150,6,160,2,1.5
32,1.47,150,6,160,2,1.5
32,1.471,150,6,160,2,1.5
32,1.472,150,6,160,2,1.5
32,1.473,150,6,160,2,1.5
32,1.474,150,6,160,2,1.5
32,1.475,150,6,160,2,1.5
32,1.476,150,6,160,2,1.5
32,1.477,150,6,160,2,1.5
32,1.478,150,6,160,2,1.5
32,1.479,150,6,160,2,1.5
32,1.48,150,6,160,2,1.5
32,1.481,150,6,160,2,1.5
32,1.482,150,6,160,2,1.5
32,1.483,150,6,160,2,1.5
32,1.484,150,6,160,2,1.5
32,1.485,150,6,160,2,1.5
32,1.486,150,6,160,2,1.5
32,1.487,150,6,160,2,1.5
32,1.488,150,6,160,2,1.5
32,1.489,150,6,160,2,1.5
28,1.49,150,6,160,2,1.5
32,1.491,150,6,160,2,1.5
32,1.492,150,6,160,2,1.5
32,1.493,150,6,160,2,1.5
32,1.494,150,6,160,2,1.5
32,1.495,150,6,160,2,1.5
56,1.496,150,6,160,2,1.5
56,1.497,150,6,160,2,1.5
56,1.498,150,6,160,2,1.5
56,1.499,150,6,160,2,1.5
56,1.5,150,6,160,2,1.5
